Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-23,15:35:00,14.44,14.44,14.01,14.3,12332,0
2016-06-23,15:40:00,14.21,14.25,14,14.25,16720,0
2016-06-23,15:45:00,14.38,14.84,14.25,14.56,19781,0
2016-06-23,15:50:00,14.54,14.59,14.3201,14.3201,3900,0
2016-06-23,15:55:00,14.37,14.37,14.3505,14.3505,400,0
2016-06-23,16:00:00,14.33,14.33,14.3,14.3,970,0
2016-06-23,16:10:00,14.2771,14.37,14.2771,14.28,2200,0
2016-06-23,16:15:00,14.26,14.26,14.18,14.18,598,0
2016-06-23,16:30:00,14.1501,14.1501,14.1501,14.1501,300,0
2016-06-23,16:40:00,14.1501,14.235,14.1501,14.235,1000,0
2016-06-23,16:45:00,14.21,14.21,14.13,14.13,600,0
2016-06-23,16:55:00,14.05,14.05,14.04,14.04,600,0
2016-06-23,17:05:00,14.1,14.1,14.1,14.1,300,0
2016-06-23,17:30:00,14.15,14.19,14.15,14.16,1300,0
2016-06-23,17:35:00,14.15,14.1664,14.1302,14.1302,1200,0
2016-06-23,17:40:00,14.13,14.13,14.11,14.11,200,0
2016-06-23,17:50:00,14.1,14.1,14.1,14.1,200,0
2016-06-23,18:10:00,14.12,14.12,14.1,14.115,2100,0
2016-06-23,18:30:00,14.15,14.2,14.1333,14.2,2479,0
2016-06-23,18:35:00,14.14,14.1577,14.1289,14.1289,1200,0
2016-06-23,18:40:00,14.14,14.1737,14.14,14.1737,500,0
2016-06-23,19:00:00,14.14,14.1595,14.14,14.1595,300,0
2016-06-23,19:10:00,14.14,14.14,14.1,14.1,2413,0
2016-06-23,19:25:00,14.1,14.1,14.05,14.1,2256,0
2016-06-23,19:30:00,14.1,14.1,14.09,14.09,1400,0
2016-06-23,19:35:00,14.09,14.15,14.09,14.1,2300,0
2016-06-23,19:40:00,14.14,14.182,14.14,14.182,200,0
2016-06-23,19:45:00,14.14,14.14,14.042,14.1,3300,0
2016-06-23,19:50:00,14.1,14.1,14.1,14.1,200,0
2016-06-23,20:10:00,14.1001,14.1001,14.1001,14.1001,600,0
2016-06-23,20:15:00,14.11,14.11,14.11,14.11,200,0
2016-06-23,20:45:00,14.117,14.117,14.117,14.117,250,0
2016-06-23,20:55:00,14.11,14.12,14.11,14.11,850,0
2016-06-23,21:10:00,14.0801,14.09,14.0801,14.09,1400,0
2016-06-23,21:15:00,14.12,14.12,14.12,14.12,200,0
2016-06-23,21:20:00,14.118,14.118,14.118,14.118,600,0
2016-06-23,21:25:00,14.12,14.12,14.11,14.11,400,0
2016-06-23,21:35:00,14.08,14.12,14.08,14.12,400,0
2016-06-23,21:45:00,14.12,14.12,14.12,14.12,100,0
2016-06-23,21:50:00,14.1,14.12,14.09,14.12,400,0
2016-06-23,21:55:00,14.04,14.12,14.02,14.08,15250,0
2016-06-23,22:00:00,14.03,14.07,13.97,14.03,10715,0
2016-06-24,15:35:00,13.38,13.42,11.1601,13.34,5684,0
2016-06-24,15:40:00,13.36,13.54,13.36,13.54,2708,0
2016-06-24,15:45:00,13.721,13.721,13.721,13.721,130,0
2016-06-24,15:50:00,13.6,13.71,13.56,13.565,712,0
2016-06-24,15:55:00,13.56,13.56,13.5,13.5,4194,0
2016-06-24,16:05:00,13.5,13.5,13.5,13.5,100,0
2016-06-24,16:10:00,13.5,13.525,13.5,13.5,1600,0
2016-06-24,16:15:00,13.5,13.55,13.5,13.5,600,0
2016-06-24,16:20:00,13.5,13.505,13.5,13.5,1300,0
2016-06-24,16:25:00,13.525,13.55,13.5,13.55,500,0
2016-06-24,16:30:00,13.5,13.5,13.5,13.5,200,0
2016-06-24,16:35:00,13.55,13.55,13.5,13.52,4353,0
2016-06-24,16:40:00,13.51,13.52,13.5,13.5,1900,0
2016-06-24,16:45:00,13.5001,13.5001,13.5,13.5,1350,0
2016-06-24,16:50:00,13.5,13.5194,13.5,13.5,600,0
2016-06-24,16:55:00,13.5,13.5001,13.5,13.5,1900,0
2016-06-24,17:00:00,13.5,13.5,13.5,13.5,500,0
2016-06-24,17:05:00,13.5,13.51,13.5,13.51,3444,0
2016-06-24,17:10:00,13.5,13.51,13.5,13.51,1100,0
2016-06-24,17:15:00,13.51,13.51,13.5,13.5,500,0
2016-06-24,17:20:00,13.51,13.51,13.504,13.51,750,0
2016-06-24,17:25:00,13.51,13.51,13.5,13.51,1600,0
2016-06-24,17:30:00,13.51,13.52,13.51,13.52,1100,0
2016-06-24,17:35:00,13.52,13.52,13.5,13.5,9144,0
2016-06-24,17:40:00,13.51,13.51,13.5074,13.5074,400,0
2016-06-24,17:45:00,13.51,13.56,13.51,13.56,1700,0
2016-06-24,17:50:00,13.55,13.55,13.54,13.54,300,0
2016-06-24,17:55:00,13.55,13.64,13.55,13.63,500,0
2016-06-24,18:00:00,13.52,13.52,13.5,13.5,200,0
2016-06-24,18:05:00,13.5,13.55,13.5,13.55,600,0
2016-06-24,18:10:00,13.53,13.53,13.5,13.5,300,0
2016-06-24,18:15:00,13.5,13.584,13.5,13.5,1000,0
2016-06-24,18:20:00,13.5,13.53,13.5,13.5,400,0
2016-06-24,18:25:00,13.5,13.5,13.5,13.5,900,0
2016-06-24,18:30:00,13.5,13.5495,13.5,13.5495,1700,0
2016-06-24,18:35:00,13.5,13.5,13.5,13.5,100,0
2016-06-24,18:40:00,13.5,13.5,13.5,13.5,200,0
2016-06-24,18:45:00,13.5,13.5,13.5,13.5,700,0
2016-06-24,18:50:00,13.5,13.51,13.5,13.51,400,0
2016-06-24,18:55:00,13.5,13.5,13.5,13.5,200,0
2016-06-24,19:00:00,13.5,13.53,13.5,13.5,500,0
2016-06-24,19:05:00,13.5,13.53,13.5,13.53,1400,0
2016-06-24,19:10:00,13.5,13.5,13.5,13.5,3938,0
2016-06-24,19:20:00,13.5,13.5,13.5,13.5,100,0
2016-06-24,19:25:00,13.5,13.5,13.5,13.5,705,0
2016-06-24,19:30:00,13.5,13.5,13.5,13.5,12300,0
2016-06-24,19:35:00,13.5,13.5,13.5,13.5,200,0
2016-06-24,19:40:00,13.5,13.525,13.5,13.5,500,0
2016-06-24,19:50:00,13.53,13.53,13.5,13.5,2300,0
2016-06-24,19:55:00,13.5,13.5,13.5,13.5,200,0
2016-06-24,20:05:00,13.5001,13.5001,13.5001,13.5001,875,0
2016-06-24,20:10:00,13.5,13.5,13.5,13.5,100,0
2016-06-24,20:20:00,13.5,13.51,13.5,13.51,900,0
2016-06-24,20:25:00,13.5,13.5,13.5,13.5,500,0
2016-06-24,20:30:00,13.5049,13.5049,13.5049,13.5049,740,0
2016-06-24,20:35:00,13.5,13.5,13.5,13.5,100,0
2016-06-24,20:55:00,13.5,13.5062,13.5,13.5,1920,0
