Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-17,15:55:00,24.5,24.5,24.5,24.5,500,0
2016-06-17,16:35:00,24.5,24.5,24.5,24.5,500,0
2016-06-17,16:50:00,24.4999,24.4999,24.4999,24.4999,100,0
2016-06-17,17:20:00,24.5,24.5,24.5,24.5,1000,0
2016-06-17,21:15:00,24.5,24.5,24.5,24.5,200,0
2016-06-17,21:25:00,24.49,24.49,24.49,24.49,200,0
2016-06-17,21:50:00,24.4,24.4,24.4,24.4,300,0
2016-06-20,15:35:00,24.4,24.4,24.4,24.4,1400,0
2016-06-20,19:25:00,24.55,24.55,24.55,24.55,200,0
2016-06-21,16:35:00,24.5,24.55,24.5,24.55,1000,0
2016-06-21,16:50:00,24.5001,24.5001,24.5,24.5,1400,0
2016-06-21,17:10:00,24.65,24.65,24.65,24.65,100,0
2016-06-21,19:45:00,24.5,24.5,24.5,24.5,1000,0
2016-06-21,20:40:00,24.5,24.5,24.5,24.5,500,0
2016-06-21,21:55:00,24.4001,24.43,24.4,24.43,400,0
2016-06-22,15:35:00,24.99,24.99,24.99,24.99,410,0
2016-06-22,16:00:00,24.65,24.65,24.65,24.65,100,0
2016-06-22,17:00:00,24.6001,24.6001,24.6,24.6,2000,0
2016-06-22,17:05:00,24.52,24.52,24.52,24.52,1000,0
2016-06-22,18:05:00,24.65,24.65,24.65,24.65,100,0
2016-06-22,20:20:00,24.65,24.65,24.65,24.65,100,0
2016-06-22,21:40:00,24.65,24.65,24.65,24.65,100,0
2016-06-23,17:25:00,24.99,24.99,24.99,24.99,200,0
2016-06-23,17:30:00,24.75,24.75,24.75,24.75,200,0
2016-06-23,17:50:00,24.65,24.65,24.56,24.58,700,0
2016-06-23,18:15:00,24.6,24.6,24.6,24.6,200,0
2016-06-23,18:45:00,24.6122,24.6122,24.6122,24.6122,150,0
2016-06-23,21:40:00,24.55,24.55,24.55,24.55,200,0
2016-06-23,22:00:00,24.54,24.54,24.54,24.54,100,0
2016-06-24,16:25:00,24.9899,24.9899,24.9899,24.9899,200,0
2016-06-24,16:30:00,24.65,24.65,22.22,24.29,1700,0
2016-06-24,16:35:00,24.115,24.115,24,24,400,0
2016-06-24,17:40:00,24,24.65,24,24.65,200,0
2016-06-24,22:00:00,24.65,24.65,24.65,24.65,100,0
2016-06-27,15:35:00,24.65,24.65,24.65,24.65,300,0
2016-06-27,16:25:00,24.22,24.22,24.2,24.2,1600,0
2016-06-27,16:45:00,24.55,24.55,24.55,24.55,100,0
2016-06-27,18:55:00,24.5,24.5,24.5,24.5,100,0
2016-06-27,22:00:00,24.4,24.4,24.4,24.4,100,0
2016-06-28,16:45:00,24.94,24.96,24.94,24.96,200,0
2016-06-28,17:50:00,24.5736,24.5736,24.5736,24.5736,370,0
2016-06-29,15:50:00,24.5,24.5,24.5,24.5,300,0
2016-06-29,22:00:00,24.5,24.5,24.5,24.5,100,0
2016-07-01,18:25:00,24.406,24.406,24.406,24.406,200,0
2016-07-01,19:55:00,24.35,24.35,24.35,24.35,1100,0
2016-07-01,22:00:00,24.34,24.34,24.34,24.34,100,0
2016-07-05,15:35:00,24.34,24.34,24.34,24.34,300,0
2016-07-05,15:45:00,24.5,24.5,24.5,24.5,100,0
2016-07-05,16:10:00,24.4,24.4,24.4,24.4,425,0
2016-07-05,16:20:00,24.39,24.4,24.3551,24.4,4000,0
2016-07-05,16:30:00,24.35,24.35,24.35,24.35,400,0
2016-07-05,16:35:00,22.21,24.29,22.21,24.29,1000,0
2016-07-05,16:40:00,22.3,24.25,22.3,24.1,5000,0
2016-07-05,17:15:00,24.2,24.225,24.05,24.225,1000,0
2016-07-05,20:40:00,24.3,24.3,24.3,24.3,100,0
2016-07-05,20:55:00,24.28,24.28,24.28,24.28,100,0
2016-07-05,22:00:00,24.3,24.3,24.3,24.3,100,0
2016-07-06,17:00:00,24.1,24.25,24.1,24.25,800,0
2016-07-06,18:00:00,24.1,24.1014,24.1,24.1014,330,0
2016-07-06,18:35:00,24.1,24.1,24.0999,24.1,500,0
2016-07-06,19:05:00,24.1,24.1,24.08,24.08,400,0
2016-07-06,21:30:00,24.08,24.0801,24.08,24.0801,270,0
2016-07-06,21:35:00,24.08,24.08,24.08,24.08,1335,0
2016-07-06,22:00:00,24.3,24.3,24.3,24.3,100,0
2016-07-07,15:35:00,24.3,24.3,24.3,24.3,165,0
2016-07-07,17:10:00,24.1,24.1001,24,24,1710,0
2016-07-07,17:15:00,23.95,23.95,23.95,23.95,1000,0
2016-07-07,17:25:00,24.05,24.05,24.05,24.05,100,0
2016-07-07,20:55:00,24.0131,24.0131,24.0131,24.0131,100,0
2016-07-07,22:00:00,24.1,24.1,24.1,24.1,100,0
2016-07-08,22:00:00,24.15,24.15,24.15,24.15,100,0
